tweet,retweetsCount,favoritesCount,timestamp
"Been cloudy; have not seen new Comet Lovejoy.  Here is photo of another Comet Lovejoy from ISS we took in 12-2011 http://t.co/muVuTeGNbM",45,57,Thu Jan 15 12:18:58 +0000 2015
"Comet Lovejoy from Space Station; this was taken in December 2012 by Exp 30. http://t.co/DOoNtejYA1",156,191,Sun Jan 11 15:12:05 +0000 2015
