has,prefers,count
ESA,ESA,104
ESA,JAXA,1
ESA,CSA,7
ESA,Roscosmos,2
ESA,NASA,51
JAXA,ESA,15
JAXA,JAXA,21
JAXA,CSA,0
JAXA,Roscosmos,0
JAXA,NASA,34
CSA,ESA,15
CSA,JAXA,0
CSA,CSA,20
CSA,Roscosmos,0
CSA,NASA,66
Roscosmos,ESA,1
Roscosmos,JAXA,0
Roscosmos,CSA,0
Roscosmos,Roscosmos,3
Roscosmos,NASA,2
NASA,ESA,58
NASA,JAXA,1
NASA,CSA,7
NASA,Roscosmos,3
NASA,NASA,340
